mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,2,400,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,7.6833,3.4681,2.7258,1.3138,0.9996,,20450,7.67
capacity,,,,holdout,2,512,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,9.0994,3.4507,2.7258,1.3138,0.9996,,20450,7.67
capacity,,,,holdout,2,613,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,7.6823,3.4413,2.7258,1.3138,0.9996,,20450,7.65
capacity,,,,holdout,2,700,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,8.7831,3.4739,2.7258,1.3138,0.9996,,20450,7.8
capacity,,,,holdout,2,808,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,8.6801,3.4577,2.7258,1.3138,0.9996,,20450,7.71
capacity,,,,holdout,2,900,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,7.9458,3.4662,2.7258,1.3138,0.9996,,20450,7.75
capacity,,,,holdout,2,1024,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,9.6216,3.4754,2.7258,1.3138,0.9996,,20450,7.68
capacity,,,,holdout,2,1111,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,9.631,3.4775,2.7258,1.3138,0.9996,,20450,7.7
capacity,,,,holdout,2,1234,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,6.4381,3.4128,2.7258,1.3138,0.9996,,20450,7.68
capacity,,,,holdout,2,1337,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,7.1783,3.4577,2.7258,1.3138,0.9996,,20450,7.65
capacity,,,,holdout,3,400,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,4.2102,1.4,2.7258,1.3138,0.9996,,20450,7.71
capacity,,,,holdout,3,512,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,2.1757,2.5976,2.7258,1.3138,0.9996,,20450,7.74
capacity,,,,holdout,3,613,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,7.3899,2.4553,2.7258,1.3138,0.9996,,20450,7.78
capacity,,,,holdout,3,700,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,3.4968,2.1715,2.7258,1.3138,0.9996,,20450,7.72
capacity,,,,holdout,3,808,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,3.5118,1.9665,2.7258,1.3138,0.9996,,20450,7.71
capacity,,,,holdout,3,900,headon,vfield,0829bfe0ae,ok,1,0,1,0,0,0,6.416,0.2105,2.7258,1.3138,0.9996,8.84,20450,7.68
capacity,,,,holdout,3,1024,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,5.7479,3.7662,2.7258,1.3138,0.9996,,20450,7.75
capacity,,,,holdout,3,1111,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,5.7329,5.9328,2.7258,1.3138,0.9996,,20450,7.83
capacity,,,,holdout,3,1234,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,6.9221,3.1313,2.7258,1.3138,0.9996,,20450,7.71
capacity,,,,holdout,3,1337,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,3.7043,3.6512,2.7258,1.3138,0.9996,,20450,7.73
capacity,,,,holdout,4,400,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.6571,6.6295,2.7258,1.3138,0.9996,,20450,7.74
capacity,,,,holdout,4,512,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.1199,1.952,2.7258,1.3138,0.9996,,20450,7.75
capacity,,,,holdout,4,613,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,6.1213,1.8392,2.7258,1.3138,0.9996,,20450,7.83
capacity,,,,holdout,4,700,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,6.2697,1.5676,2.7258,1.3138,0.9996,,20450,7.68
capacity,,,,holdout,4,808,headon,vfield,0829bfe0ae,ok,1,0,1,0,0,0,4.5367,0.0731,2.7258,1.3138,0.9996,5.13,20450,7.77
capacity,,,,holdout,4,900,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,4.1786,3.6338,2.7258,1.3138,0.9996,,20450,7.68
capacity,,,,holdout,4,1024,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,6.2014,1.6262,2.7258,1.3138,0.9996,,20450,7.73
capacity,,,,holdout,4,1111,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.6493,2.6138,2.7258,1.3138,0.9996,,20450,7.78
