mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,8,1001,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.3361,4.4968,2.7258,2.0438,1.555,,8450,3.74
capacity,,,,holdout,8,1003,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.0041,2.6174,2.7258,2.0438,1.555,,8450,3.76
capacity,,,,holdout,8,1005,headon,vfield,f10d62c73d,ok,1,0,0,1,0,0,0.0103,2.5503,2.7258,2.0438,1.555,-18.16,8450,3.84
capacity,,,,holdout,8,1007,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,11.1336,6.5658,2.7258,2.0438,1.555,,8450,3.72
capacity,,,,holdout,8,1009,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.6324,3.8258,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1011,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,9.1237,4.3249,2.7258,2.0438,1.555,,8450,3.67
capacity,,,,holdout,8,1013,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.2465,10.9049,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1015,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.3219,2.1817,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1017,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.8199,1.4988,2.7258,2.0438,1.555,,8450,3.71
capacity,,,,holdout,8,1019,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.6533,6.6833,2.7258,2.0438,1.555,,8450,3.71
capacity,,,,holdout,8,1021,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.4066,1.5582,2.7258,2.0438,1.555,,8450,3.72
capacity,,,,holdout,8,1023,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.6682,3.3283,2.7258,2.0438,1.555,,8450,3.67
capacity,,,,holdout,8,1025,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.4526,8.1189,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1027,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,10.8364,12.6414,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1029,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.8667,12.6895,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1031,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.9079,8.4919,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1033,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.0065,8.3588,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1035,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.3821,6.2598,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1037,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.2557,6.6515,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1039,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.048,2.9139,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1041,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.6707,6.3655,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1043,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.9354,2.2018,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1045,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.8266,6.6224,2.7258,2.0438,1.555,,8450,3.67
capacity,,,,holdout,8,1047,headon,vfield,f10d62c73d,ok,1,0,1,0,0,0,6.1927,0.3501,2.7258,2.0438,1.555,20.6,8450,3.66
capacity,,,,holdout,8,1049,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.3291,12.3019,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1051,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,10.7298,3.5674,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1053,headon,vfield,f10d62c73d,ok,1,0,1,0,0,0,7.4628,0.8429,2.7258,2.0438,1.555,20.8,8450,3.66
capacity,,,,holdout,8,1055,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.6164,8.399,2.7258,2.0438,1.555,,8450,3.69
capacity,,,,holdout,8,1057,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.1278,5.5236,2.7258,2.0438,1.555,,8450,3.7
capacity,,,,holdout,8,1059,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.8296,5.2609,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1061,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.0507,12.9558,2.7258,2.0438,1.555,,8450,3.68
capacity,,,,holdout,8,1063,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.9761,6.4931,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1065,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.5017,1.5611,2.7258,2.0438,1.555,,8450,3.67
capacity,,,,holdout,8,1067,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.2426,8.4737,2.7258,2.0438,1.555,,8450,3.65
