mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
grid,,,PR8_x1,holdout,3,1001,headon,vfield,91217acd43,ok,1,0,0,0,1,0,0.7358,5.6716,2.7258,2.0438,1.555,8.06,8450,3.87
grid,,,PR8_x1,holdout,3,1003,headon,vfield,91217acd43,ok,0,0,0,0,0,0,1.9681,5.1529,2.7258,2.0438,1.555,,8450,4.6
grid,,,PR8_x1,holdout,3,1005,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.6016,5.9226,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1,holdout,3,1007,headon,vfield,91217acd43,ok,0,0,0,0,0,0,3.2026,5.3019,2.7258,2.0438,1.555,,8450,3.55
grid,,,PR8_x1,holdout,3,1009,headon,vfield,91217acd43,ok,0,0,0,0,0,0,4.3721,3.6001,2.7258,2.0438,1.555,,8450,3.8
grid,,,PR8_x1,holdout,3,1011,headon,vfield,91217acd43,ok,0,0,0,0,0,0,4.0569,6.0425,2.7258,2.0438,1.555,,8450,3.69
grid,,,PR8_x1,holdout,3,1013,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.1955,4.2249,2.7258,2.0438,1.555,,8450,3.71
grid,,,PR8_x1,holdout,3,1015,headon,vfield,91217acd43,ok,0,0,0,0,0,0,5.0145,1.7163,2.7258,2.0438,1.555,,8450,3.64
grid,,,PR8_x1,holdout,3,1017,headon,vfield,91217acd43,ok,1,0,1,0,0,0,2.4498,0.9571,2.7258,2.0438,1.555,19.85,8450,3.54
grid,,,PR8_x1,holdout,3,1019,headon,vfield,91217acd43,ok,1,0,1,0,0,0,2.0406,0.6659,2.7258,2.0438,1.555,-2.82,8450,3.65
grid,,,PR8_x1,holdout,3,1021,headon,vfield,91217acd43,ok,0,0,0,0,0,0,4.6606,1.539,2.7258,2.0438,1.555,,8450,3.65
grid,,,PR8_x1,holdout,3,1023,headon,vfield,91217acd43,ok,0,0,0,0,0,0,4.0411,5.8833,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1,holdout,3,1025,headon,vfield,91217acd43,ok,1,0,1,0,0,0,2.8805,0.688,2.7258,2.0438,1.555,14.25,8450,3.53
grid,,,PR8_x1,holdout,3,1027,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.2008,4.3838,2.7258,2.0438,1.555,,8450,3.53
grid,,,PR8_x1,holdout,3,1029,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.1174,5.736,2.7258,2.0438,1.555,,8450,3.53
grid,,,PR8_x1,holdout,3,1031,headon,vfield,91217acd43,ok,0,0,0,0,0,0,3.7296,5.6607,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1033,headon,vfield,91217acd43,ok,0,0,0,0,0,0,1.6912,5.8604,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1035,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.222,2.1655,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1037,headon,vfield,91217acd43,ok,0,0,0,0,0,0,3.334,5.6008,2.7258,2.0438,1.555,,8450,3.5
grid,,,PR8_x1,holdout,3,1039,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.7758,5.9537,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1041,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.8833,5.0782,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1,holdout,3,1043,headon,vfield,91217acd43,ok,0,0,0,0,0,0,2.3483,4.9608,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1,holdout,3,1045,headon,vfield,91217acd43,ok,0,0,0,0,0,0,3.5708,6.0073,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1,holdout,3,1047,headon,vfield,91217acd43,ok,1,0,0,0,1,0,0.5553,5.4959,2.7258,2.0438,1.555,16.62,8450,3.86
grid,,,PR8_x1,holdout,3,1049,headon,vfield,91217acd43,ok,1,0,1,0,0,0,2.3736,0.5944,2.7258,2.0438,1.555,9.95,8450,3.54
