geometry,guidance,nFan,seed,status,configHash,leaderLeader,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,totalCollisions,minLeaderGap,minFanCapGap,minFanFanGap,redRMS,goldRMS,redPeak,goldPeak,stopsRed,stopsGold,steps,firstCollisionRelCPA,runtimeSec
headon,waypoint,1,8,ok,f10d62c73d,0,0,0,0,0,0,3.5299,8.1802,16.3014,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.61
headon,waypoint,1,11,ok,f10d62c73d,0,0,0,0,0,0,3.5299,2.0871,10.5308,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.66
headon,waypoint,1,23,ok,f10d62c73d,0,0,0,0,0,0,3.5299,7.8749,16.6212,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.63
headon,waypoint,1,42,ok,f10d62c73d,0,0,0,0,0,0,3.5299,9.6135,16.4065,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.6
headon,waypoint,1,77,ok,f10d62c73d,0,0,0,0,0,0,3.5299,6.2346,18.2284,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.63
headon,waypoint,1,101,ok,f10d62c73d,0,0,0,0,0,0,3.5299,9.6066,36.3856,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.61
headon,waypoint,1,144,ok,f10d62c73d,0,0,0,0,0,0,3.5299,12.516,38.5633,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.59
headon,waypoint,1,200,ok,f10d62c73d,0,0,0,0,0,0,3.5299,7.9061,13.3469,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.61
headon,waypoint,1,256,ok,f10d62c73d,0,0,0,0,0,0,3.5299,10.2411,25.1067,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.59
headon,waypoint,1,314,ok,f10d62c73d,0,0,0,0,0,0,3.5299,7.1727,19.8338,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.57
headon,waypoint,1,400,ok,f10d62c73d,0,0,0,0,0,0,3.5299,7.158,13.9137,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.58
headon,waypoint,1,512,ok,f10d62c73d,0,0,0,0,0,0,3.5299,1.1357,16.8292,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.58
headon,waypoint,1,613,ok,f10d62c73d,0,0,0,0,0,0,3.5299,9.5627,34.1161,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.66
headon,waypoint,1,700,ok,f10d62c73d,0,0,0,0,0,0,3.5299,2.1026,11.4509,2.712,1.9133,6.9381,5.3286,0,0,9635,,4.4
headon,waypoint,1,808,ok,f10d62c73d,0,0,0,0,0,0,3.5299,8.2596,16.7666,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.59
headon,waypoint,1,900,ok,f10d62c73d,0,0,0,0,0,0,3.5299,6.6978,38.4052,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.62
headon,waypoint,1,1024,ok,f10d62c73d,0,0,0,0,0,0,3.5299,13.6507,21.7464,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.57
headon,waypoint,1,1111,ok,f10d62c73d,0,0,0,0,0,0,3.5299,12.6027,37.152,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.57
headon,waypoint,1,1234,ok,f10d62c73d,0,0,0,0,0,0,3.5299,7.1513,17.0471,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.56
headon,waypoint,1,1337,ok,f10d62c73d,0,0,0,0,0,0,3.5299,4.8693,17.6426,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.56
headon,waypoint,2,8,ok,f10d62c73d,0,0,0,0,0,0,3.5299,13.5798,12.5204,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.64
headon,waypoint,2,11,ok,f10d62c73d,0,0,0,0,0,0,3.5299,8.2555,3.679,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.66
headon,waypoint,2,23,ok,f10d62c73d,0,0,0,0,0,0,3.5299,16.1741,12.443,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.63
headon,waypoint,2,42,ok,f10d62c73d,0,0,0,0,0,0,3.5299,11.7096,12.2548,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.64
headon,waypoint,2,77,ok,f10d62c73d,0,0,0,0,0,0,3.5299,5.666,8.4484,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.67
headon,waypoint,2,101,ok,f10d62c73d,0,0,0,0,0,0,3.5299,1.2723,11.7952,2.712,1.9133,6.9381,5.3286,0,0,9635,,3.7
