mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
ablation,,,full,holdout,4,1001,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.2652,9.0559,2.7258,2.0438,1.555,1,1,,8450,3.68
ablation,,,full,holdout,4,1003,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.9642,5.3328,2.7258,2.0438,1.555,1,1,,8450,3.78
ablation,,,full,holdout,4,1005,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.0267,5.7032,2.7258,2.0438,1.555,1,1,,8450,3.64
ablation,,,full,holdout,4,1007,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,2.3067,7.4116,2.7258,2.0438,1.555,1,1,,8450,3.62
ablation,,,full,holdout,4,1009,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.8995,8.9654,2.7258,2.0438,1.555,1,1,,8450,3.58
ablation,,,full,holdout,4,1011,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.1769,7.5234,2.7258,2.0438,1.555,1,1,,8450,3.64
ablation,,,full,holdout,4,1013,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.6012,4.4464,2.7258,2.0438,1.555,1,1,,8450,3.58
ablation,,,full,holdout,4,1015,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.0592,7.1447,2.7258,2.0438,1.555,1,1,,8450,3.6
ablation,,,full,holdout,4,1017,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.6439,9.8339,2.7258,2.0438,1.555,1,1,,8450,3.55
ablation,,,full,holdout,4,1019,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.6312,3.6392,2.7258,2.0438,1.555,1,1,,8450,3.61
