mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
ablation,,,full,holdout,8,1001,cross,vfield,82cf704aea,ok,1,0,0,0,1,0,0.0197,2.9772,7.2337,2.861,0.3903,1,1,-1.11,14460,6.17
ablation,,,full,holdout,8,1003,cross,vfield,82cf704aea,ok,1,0,1,0,0,0,2.2303,0.0073,7.2337,2.861,0.3903,1,1,13.8,14460,6.09
ablation,,,full,holdout,8,1005,cross,vfield,82cf704aea,ok,3,0,1,2,0,0,0.2014,0.2535,7.2337,2.861,0.3903,1,1,-42.64,14460,6.07
ablation,,,full,holdout,8,1007,cross,vfield,82cf704aea,ok,2,0,1,1,0,0,0.2697,0.0073,7.2337,2.861,0.3903,1,1,-41.59,14460,6.28
ablation,,,full,holdout,8,1009,cross,vfield,82cf704aea,ok,4,1,1,1,1,0,0.5134,0.0202,7.2337,2.861,0.3903,1,1,-29.81,14460,6.27
ablation,,,full,holdout,8,1011,cross,vfield,82cf704aea,ok,2,0,0,2,0,0,0.3447,3.2865,7.2337,2.861,0.3903,1,1,-36.23,14460,6.21
ablation,,,full,holdout,8,1013,cross,vfield,82cf704aea,ok,2,1,0,0,1,0,0.6235,0.015,7.2337,2.861,0.3903,1,1,16.32,14460,6.2
ablation,,,full,holdout,8,1015,cross,vfield,82cf704aea,ok,1,0,0,0,1,0,0.6588,5.9649,7.2337,2.861,0.3903,1,1,81.87,14460,6.24
ablation,,,full,holdout,8,1017,cross,vfield,82cf704aea,ok,0,0,0,0,0,0,5.8867,1.93,7.2337,2.861,0.3903,1,1,,14460,6.19
ablation,,,full,holdout,8,1019,cross,vfield,82cf704aea,ok,0,0,0,0,0,0,1.113,2.0059,7.2337,2.861,0.3903,1,1,,14460,6.18
ablation,,,full,holdout,8,1021,cross,vfield,82cf704aea,ok,0,0,0,0,0,0,3.9934,5.0481,7.2337,2.861,0.3903,1,1,,14460,6.6
