mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
ablation,,,full,holdout,8,1001,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,2.5154,9.3679,2.7258,2.0438,1.555,1,1,,8450,3.76
ablation,,,full,holdout,8,1003,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,2.2303,2.9535,2.7258,2.0438,1.555,1,1,,8450,4.13
ablation,,,full,holdout,8,1005,headon,vfield,82cf704aea,ok,2,0,0,2,0,0,0.2014,1.4867,2.7258,2.0438,1.555,1,1,-26.67,8450,3.76
ablation,,,full,holdout,8,1007,headon,vfield,82cf704aea,ok,1,0,0,1,0,0,0.2697,1.9756,2.7258,2.0438,1.555,1,1,-25.62,8450,3.81
ablation,,,full,holdout,8,1009,headon,vfield,82cf704aea,ok,2,0,0,1,1,0,0.172,1.4886,2.7258,2.0438,1.555,1,1,-13.84,8450,3.76
ablation,,,full,holdout,8,1011,headon,vfield,82cf704aea,ok,2,0,1,1,0,0,0.3447,0.1557,2.7258,2.0438,1.555,1,1,-20.26,8450,3.76
ablation,,,full,holdout,8,1013,headon,vfield,82cf704aea,ok,2,0,1,0,1,0,0.0478,0.6076,2.7258,2.0438,1.555,1,1,26.37,8450,3.74
ablation,,,full,holdout,8,1015,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.0365,3.0148,2.7258,2.0438,1.555,1,1,,8450,3.81
ablation,,,full,holdout,8,1017,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,3.5248,4.3515,2.7258,2.0438,1.555,1,1,,8450,3.75
ablation,,,full,holdout,8,1019,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.113,2.3686,2.7258,2.0438,1.555,1,1,,8450,3.77
ablation,,,full,holdout,8,1021,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,2.7999,3.235,2.7258,2.0438,1.555,1,1,,8450,3.75
ablation,,,full,holdout,8,1023,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,5.2278,3.7754,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1025,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,4.2353,5.6327,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1027,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,2.3951,3.8156,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1029,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.4518,3.4856,2.7258,2.0438,1.555,1,1,,8450,3.82
ablation,,,full,holdout,8,1031,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,6.8847,3.3526,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1033,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.9216,2.7421,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1035,headon,vfield,82cf704aea,ok,1,0,0,1,0,0,0.0213,8.0054,2.7258,2.0438,1.555,1,1,-25.65,8450,3.8
ablation,,,full,holdout,8,1037,headon,vfield,82cf704aea,ok,1,0,0,1,0,0,0.1263,2.483,2.7258,2.0438,1.555,1,1,-19.78,8450,3.84
ablation,,,full,holdout,8,1039,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,4.1879,5.3126,2.7258,2.0438,1.555,1,1,,8450,3.78
ablation,,,full,holdout,8,1041,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,2.4152,9.3105,2.7258,2.0438,1.555,1,1,,8450,3.81
ablation,,,full,holdout,8,1043,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,3.9245,7.8115,2.7258,2.0438,1.555,1,1,,8450,3.82
ablation,,,full,holdout,8,1045,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,3.0729,6.2988,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1047,headon,vfield,82cf704aea,ok,2,0,1,1,0,0,0.5461,0.405,2.7258,2.0438,1.555,1,1,-14.92,8450,3.79
ablation,,,full,holdout,8,1049,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.0715,1.215,2.7258,2.0438,1.555,1,1,,8450,4.4
ablation,,,full,holdout,8,1051,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,3.2195,2.5452,2.7258,2.0438,1.555,1,1,,8450,4.44
ablation,,,full,holdout,8,1053,headon,vfield,82cf704aea,ok,1,0,0,0,1,0,0.5492,5.0119,2.7258,2.0438,1.555,1,1,38.69,8450,3.94
ablation,,,full,holdout,8,1055,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,5.169,7.1302,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1057,headon,vfield,82cf704aea,ok,2,0,1,1,0,0,0.2187,0.9563,2.7258,2.0438,1.555,1,1,-18.05,8450,3.85
ablation,,,full,holdout,8,1059,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.2669,2.4125,2.7258,2.0438,1.555,1,1,,8450,3.79
ablation,,,full,holdout,8,1061,headon,vfield,82cf704aea,ok,2,0,0,2,0,0,0.0386,3.4568,2.7258,2.0438,1.555,1,1,-16.6,8450,3.8
ablation,,,full,holdout,8,1063,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.7257,5.9758,2.7258,2.0438,1.555,1,1,,8450,3.8
ablation,,,full,holdout,8,1065,headon,vfield,82cf704aea,ok,0,0,0,0,0,0,1.6445,6.9193,2.7258,2.0438,1.555,1,1,,8450,3.96
