mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,3,1001,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,10.2488,3.9571,2.7258,2.0438,1.555,,8450,3.57
capacity,,,,holdout,3,1003,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,12.6044,6.8963,2.7258,2.0438,1.555,,8450,3.58
capacity,,,,holdout,3,1005,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,1.539,4.3744,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1007,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,4.6077,2.6448,2.7258,2.0438,1.555,,8450,3.55
capacity,,,,holdout,3,1009,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.0887,8.3191,2.7258,2.0438,1.555,,8450,3.49
capacity,,,,holdout,3,1011,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,12.7413,3.5024,2.7258,2.0438,1.555,,8450,3.49
capacity,,,,holdout,3,1013,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,8.7397,1.624,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1015,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,9.3198,13.8014,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1017,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,3.5562,9.2853,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,3,1019,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,11.725,7.5149,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1021,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,2.8709,7.8744,2.7258,2.0438,1.555,,8450,3.49
capacity,,,,holdout,3,1023,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,10.1981,9.6792,2.7258,2.0438,1.555,,8450,3.51
capacity,,,,holdout,3,1025,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.1399,7.1172,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,3,1027,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,10.1703,4.9394,2.7258,2.0438,1.555,,8450,3.47
