mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
capacity2,,,satisfied,holdout,3,1001,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.1544,5.6971,2.7258,2.0438,1.555,1,1,,8450,3.61
capacity2,,,satisfied,holdout,3,1003,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,11.5943,6.9999,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,3,1005,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.8822,4.1288,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1007,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.7813,7.7885,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1009,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.7711,5.3093,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1011,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.7803,6.76,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1013,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,3.6171,12.03,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1015,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,11.952,13.554,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1017,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.183,16.1919,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1019,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.7011,7.4497,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1021,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,7.1609,2.7139,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1023,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,7.879,7.4674,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1025,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.1143,17.0126,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1027,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,17.9753,8.1455,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1029,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,15.7708,13.6469,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1031,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.9948,8.189,2.7258,2.0438,1.555,1,1,,8450,3.5
capacity2,,,satisfied,holdout,3,1033,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.7957,4.9618,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1035,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.564,10.086,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1037,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.6555,11.2983,2.7258,2.0438,1.555,1,1,,8450,3.52
capacity2,,,satisfied,holdout,3,1039,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.0962,8.6406,2.7258,2.0438,1.555,1,1,,8450,3.51
capacity2,,,satisfied,holdout,3,1041,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,16.0313,9.0301,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1043,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.6013,4.5443,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,3,1045,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,14.0761,4.8355,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,3,1047,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.4562,14.315,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,3,1049,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.6825,12.8372,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,3,1051,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.7797,15.5592,2.7258,2.0438,1.555,1,1,,8450,3.51
capacity2,,,satisfied,holdout,3,1053,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,17.7466,7.7007,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1055,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,13.6005,11.1105,2.7258,2.0438,1.555,1,1,,8450,3.51
capacity2,,,satisfied,holdout,3,1057,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.6227,10.6666,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1059,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.8353,6.0081,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1061,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.6516,4.0969,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1063,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,11.2003,12.4287,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1065,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,16.5947,10.132,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,3,1067,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.7486,9.6692,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1069,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.0319,11.5026,2.7258,2.0438,1.555,1,1,,8450,3.52
capacity2,,,satisfied,holdout,3,1071,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.156,12.2249,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1073,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,3.2894,8.5319,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1075,headon,vfield,f42972bbdb,ok,1,0,1,0,0,0,5.5473,0.4388,2.7258,2.0438,1.555,1,1,27.71,8450,3.52
capacity2,,,satisfied,holdout,3,1077,headon,vfield,f42972bbdb,ok,1,0,1,0,0,0,4.9968,0.2533,2.7258,2.0438,1.555,1,1,9.68,8450,3.56
capacity2,,,satisfied,holdout,3,1079,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.1009,12.8981,2.7258,2.0438,1.555,1,1,,8450,3.59
capacity2,,,satisfied,holdout,3,1081,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.5183,11.8057,2.7258,2.0438,1.555,1,1,,8450,3.52
capacity2,,,satisfied,holdout,3,1083,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.5347,7.0692,2.7258,2.0438,1.555,1,1,,8450,3.6
capacity2,,,satisfied,holdout,3,1085,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.9695,10.441,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1087,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,16.9547,8.7644,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1089,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.8389,7.0036,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,3,1091,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,3.2498,8.1137,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1093,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.72,11.0453,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1095,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.1098,11.3,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,3,1097,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.3297,11.3149,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1099,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.6165,15.8595,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,4,1001,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.2652,9.0559,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1003,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.9642,5.3328,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,4,1005,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.0267,5.7032,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1007,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,2.3067,7.4116,2.7258,2.0438,1.555,1,1,,8450,3.6
capacity2,,,satisfied,holdout,4,1009,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.8995,8.9654,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,4,1011,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.1769,7.5234,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1013,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.6012,4.4464,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1015,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.0592,7.1447,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1017,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.6439,9.8339,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1019,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.6312,3.6392,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1021,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,7.5342,9.0827,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1023,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,5.4278,5.4261,2.7258,2.0438,1.555,1,1,,8450,3.53
capacity2,,,satisfied,holdout,4,1025,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,11.1196,10.7844,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,4,1027,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.531,9.9834,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1029,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.6635,8.3354,2.7258,2.0438,1.555,1,1,,8450,3.62
capacity2,,,satisfied,holdout,4,1031,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,12.2149,8.2504,2.7258,2.0438,1.555,1,1,,8450,3.61
capacity2,,,satisfied,holdout,4,1033,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.6965,5.4123,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1035,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.6204,8.5853,2.7258,2.0438,1.555,1,1,,8450,3.6
capacity2,,,satisfied,holdout,4,1037,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.0215,10.587,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1039,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.5395,8.8425,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1041,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.5209,1.8544,2.7258,2.0438,1.555,1,1,,8450,3.59
capacity2,,,satisfied,holdout,4,1043,headon,vfield,f42972bbdb,ok,1,0,1,0,0,0,7.1943,0.6082,2.7258,2.0438,1.555,1,1,20.59,8450,3.59
capacity2,,,satisfied,holdout,4,1045,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.5816,6.3387,2.7258,2.0438,1.555,1,1,,8450,3.63
capacity2,,,satisfied,holdout,4,1047,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.4757,12.5181,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1049,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,7.1321,3.0623,2.7258,2.0438,1.555,1,1,,8450,3.59
capacity2,,,satisfied,holdout,4,1051,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.812,8.0741,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1053,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.3889,6.8324,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1055,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,4.5123,4.7504,2.7258,2.0438,1.555,1,1,,8450,3.57
capacity2,,,satisfied,holdout,4,1057,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,9.0001,7.9466,2.7258,2.0438,1.555,1,1,,8450,3.6
capacity2,,,satisfied,holdout,4,1059,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.9503,11.7124,2.7258,2.0438,1.555,1,1,,8450,3.55
capacity2,,,satisfied,holdout,4,1061,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,3.0655,9.6395,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,4,1063,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,10.0492,6.1498,2.7258,2.0438,1.555,1,1,,8450,3.7
capacity2,,,satisfied,holdout,4,1065,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,6.3557,11.6368,2.7258,2.0438,1.555,1,1,,8450,3.61
capacity2,,,satisfied,holdout,4,1067,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,7.9771,7.6139,2.7258,2.0438,1.555,1,1,,8450,3.59
capacity2,,,satisfied,holdout,4,1069,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,8.2588,5.7393,2.7258,2.0438,1.555,1,1,,8450,3.58
capacity2,,,satisfied,holdout,4,1071,headon,vfield,f42972bbdb,ok,0,0,0,0,0,0,2.1104,3.0511,2.7258,2.0438,1.555,1,1,,8450,3.57
