mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
capacity2,,,satisfied,holdout,3,1001,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.2828,13.145,2.7258,2.0438,1.555,1,1,,8450,3.75
capacity2,,,satisfied,holdout,3,1003,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.9775,10.6896,2.7258,2.0438,1.555,1,1,,8450,3.51
capacity2,,,satisfied,holdout,3,1005,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,10.5972,13.7178,2.7258,2.0438,1.555,1,1,,8450,3.56
capacity2,,,satisfied,holdout,3,1007,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.466,7.0117,2.7258,2.0438,1.555,1,1,,8450,3.52
capacity2,,,satisfied,holdout,3,1009,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,10.1466,8.7344,2.7258,2.0438,1.555,1,1,,8450,3.45
capacity2,,,satisfied,holdout,3,1011,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,15.5291,12.0885,2.7258,2.0438,1.555,1,1,,8450,3.49
capacity2,,,satisfied,holdout,3,1013,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,15.2067,12.03,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1015,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,9.0574,14.4673,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1017,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.4848,16.4462,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1019,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,11.6875,9.017,2.7258,2.0438,1.555,1,1,,8450,3.54
capacity2,,,satisfied,holdout,3,1021,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,11.0772,16.7266,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1023,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,13.4557,9.3426,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1025,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.3376,14.0119,2.7258,2.0438,1.555,1,1,,8450,3.48
capacity2,,,satisfied,holdout,3,1027,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,15.8415,14.7396,2.7258,2.0438,1.555,1,1,,8450,3.48
capacity2,,,satisfied,holdout,3,1029,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,17.402,13.6331,2.7258,2.0438,1.555,1,1,,8450,3.45
capacity2,,,satisfied,holdout,3,1031,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.4259,8.189,2.7258,2.0438,1.555,1,1,,8450,3.48
capacity2,,,satisfied,holdout,3,1033,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,13.1111,17.3831,2.7258,2.0438,1.555,1,1,,8450,3.44
capacity2,,,satisfied,holdout,3,1035,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,13.3495,10.086,2.7258,2.0438,1.555,1,1,,8450,3.48
capacity2,,,satisfied,holdout,3,1037,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,14.6897,14.5202,2.7258,2.0438,1.555,1,1,,8450,3.46
capacity2,,,satisfied,holdout,3,1039,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,9.9682,8.6406,2.7258,2.0438,1.555,1,1,,8450,3.47
capacity2,,,satisfied,holdout,3,1041,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,12.8567,10.1325,2.7258,2.0438,1.555,1,1,,8450,3.47
capacity2,,,satisfied,holdout,3,1043,headon,vfield,53566e1ac5,ok,0,0,0,0,0,0,12.4907,10.1129,2.7258,2.0438,1.555,1,1,,8450,3.47
