mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
grid,,,PR8_x1,holdout,3,1001,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,4.8728,1.5694,2.7258,2.0438,1.555,,8450,3.62
grid,,,PR8_x1,holdout,3,1003,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,4.0775,3.4577,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1005,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,6.6095,3.5199,2.7258,2.0438,1.555,,8450,3.53
grid,,,PR8_x1,holdout,3,1007,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,5.9272,4.4762,2.7258,2.0438,1.555,,8450,3.59
grid,,,PR8_x1,holdout,3,1009,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,7.3781,2.6829,2.7258,2.0438,1.555,,8450,3.53
grid,,,PR8_x1,holdout,3,1011,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,9.1508,6.6315,2.7258,2.0438,1.555,,8450,3.48
grid,,,PR8_x1,holdout,3,1013,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,11.0604,8.7712,2.7258,2.0438,1.555,,8450,3.58
grid,,,PR8_x1,holdout,3,1015,headon,vfield,d2f987c9b6,ok,1,0,0,0,1,0,0.9498,10.2818,2.7258,2.0438,1.555,23.92,8450,3.5
grid,,,PR8_x1,holdout,3,1017,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,7.977,8.5603,2.7258,2.0438,1.555,,8450,3.48
grid,,,PR8_x1,holdout,3,1019,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,2.2879,3.1735,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1021,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,5.2474,7.1235,2.7258,2.0438,1.555,,8450,3.5
grid,,,PR8_x1,holdout,3,1023,headon,vfield,d2f987c9b6,ok,1,0,1,0,0,0,3.5966,0.3679,2.7258,2.0438,1.555,19.42,8450,3.49
grid,,,PR8_x1,holdout,3,1025,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,2.8003,6.6016,2.7258,2.0438,1.555,,8450,3.5
grid,,,PR8_x1,holdout,3,1027,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,8.1747,2.3114,2.7258,2.0438,1.555,,8450,3.48
grid,,,PR8_x1,holdout,3,1029,headon,vfield,d2f987c9b6,ok,1,0,1,0,0,0,8.1293,0.1308,2.7258,2.0438,1.555,16.78,8450,3.49
grid,,,PR8_x1,holdout,3,1031,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,4.4236,8.032,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1033,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,2.919,2.1963,2.7258,2.0438,1.555,,8450,3.49
grid,,,PR8_x1,holdout,3,1035,headon,vfield,d2f987c9b6,ok,2,0,2,0,0,0,3.3578,0.1057,2.7258,2.0438,1.555,6.91,8450,3.48
grid,,,PR8_x1,holdout,3,1037,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,4.9819,2.8421,2.7258,2.0438,1.555,,8450,3.48
grid,,,PR8_x1,holdout,3,1039,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,5.3704,5.4522,2.7258,2.0438,1.555,,8450,3.49
grid,,,PR8_x1,holdout,3,1041,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,5.8519,3.5566,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1,holdout,3,1043,headon,vfield,d2f987c9b6,ok,0,0,0,0,0,0,8.9716,5.5321,2.7258,2.0438,1.555,,8450,3.66
