mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:columnNS,,,PR10_x0.5,holdout,3,1001,headon,vfield,1929875180,ok,1,0,1,0,0,0,7.2031,0.8951,2.7258,2.0438,1.555,1,1,11.0,8450,3.46
grid2:columnNS,,,PR10_x0.5,holdout,3,1003,headon,vfield,1929875180,ok,0,0,0,0,0,0,2.9476,1.2845,2.7258,2.0438,1.555,1,1,,8450,3.39
grid2:columnNS,,,PR10_x0.5,holdout,3,1005,headon,vfield,1929875180,ok,2,0,1,1,0,0,0.2242,0.0066,2.7258,2.0438,1.555,1,1,9.44,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1007,headon,vfield,1929875180,ok,0,0,0,0,0,0,5.8411,3.8397,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1009,headon,vfield,1929875180,ok,1,0,1,0,0,0,2.5755,0.3975,2.7258,2.0438,1.555,1,1,7.11,8450,3.35
grid2:columnNS,,,PR10_x0.5,holdout,3,1011,headon,vfield,1929875180,ok,1,0,1,0,0,0,5.7703,0.8961,2.7258,2.0438,1.555,1,1,9.35,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1013,headon,vfield,1929875180,ok,0,0,0,0,0,0,5.165,5.1872,2.7258,2.0438,1.555,1,1,,8450,3.31
grid2:columnNS,,,PR10_x0.5,holdout,3,1015,headon,vfield,1929875180,ok,0,0,0,0,0,0,2.001,3.7521,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1017,headon,vfield,1929875180,ok,1,0,1,0,0,0,4.4778,0.26,2.7258,2.0438,1.555,1,1,10.44,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1019,headon,vfield,1929875180,ok,0,0,0,0,0,0,4.811,3.1018,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1021,headon,vfield,1929875180,ok,0,0,0,0,0,0,6.1683,2.1942,2.7258,2.0438,1.555,1,1,,8450,3.35
grid2:columnNS,,,PR10_x0.5,holdout,3,1023,headon,vfield,1929875180,ok,2,0,2,0,0,0,3.62,0.4055,2.7258,2.0438,1.555,1,1,8.0,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1025,headon,vfield,1929875180,ok,0,0,0,0,0,0,6.4864,3.5901,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1027,headon,vfield,1929875180,ok,0,0,0,0,0,0,6.8834,2.1846,2.7258,2.0438,1.555,1,1,,8450,3.39
grid2:columnNS,,,PR10_x0.5,holdout,3,1029,headon,vfield,1929875180,ok,0,0,0,0,0,0,2.9054,4.0919,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:columnNS,,,PR10_x0.5,holdout,3,1031,headon,vfield,1929875180,ok,0,0,0,0,0,0,3.9279,1.4975,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.5,holdout,3,1033,headon,vfield,1929875180,ok,1,0,0,0,1,0,0.9494,3.9739,2.7258,2.0438,1.555,1,1,34.01,8450,3.35
grid2:columnNS,,,PR10_x0.5,holdout,3,1035,headon,vfield,1929875180,ok,2,0,2,0,0,0,5.6206,0.0046,2.7258,2.0438,1.555,1,1,14.28,8450,3.38
grid2:columnNS,,,PR10_x0.5,holdout,3,1037,headon,vfield,1929875180,ok,2,0,2,0,0,0,5.1857,0.3809,2.7258,2.0438,1.555,1,1,6.42,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1039,headon,vfield,1929875180,ok,1,0,0,0,1,0,0.3468,2.9757,2.7258,2.0438,1.555,1,1,37.72,8450,3.3
grid2:columnNS,,,PR10_x0.5,holdout,3,1041,headon,vfield,1929875180,ok,1,0,1,0,0,0,5.7623,0.9393,2.7258,2.0438,1.555,1,1,11.94,8450,3.44
grid2:columnNS,,,PR10_x0.5,holdout,3,1043,headon,vfield,1929875180,ok,0,0,0,0,0,0,5.8595,3.5409,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1045,headon,vfield,1929875180,ok,0,0,0,0,0,0,6.6471,2.2255,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:columnNS,,,PR10_x0.5,holdout,3,1047,headon,vfield,1929875180,ok,0,0,0,0,0,0,3.2987,1.7206,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:columnNS,,,PR10_x0.5,holdout,3,1049,headon,vfield,1929875180,ok,2,0,2,0,0,0,4.3576,0.6783,2.7258,2.0438,1.555,1,1,6.9,8450,3.38
grid2:columnNS,,,PR10_x0.5,holdout,3,1051,headon,vfield,1929875180,ok,0,0,0,0,0,0,4.9851,2.8932,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1053,headon,vfield,1929875180,ok,0,0,0,0,0,0,3.5465,3.4414,2.7258,2.0438,1.555,1,1,,8450,3.35
grid2:columnNS,,,PR10_x0.5,holdout,3,1055,headon,vfield,1929875180,ok,0,0,0,0,0,0,1.2121,4.47,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.5,holdout,3,1057,headon,vfield,1929875180,ok,2,0,1,0,1,0,0.5138,0.2947,2.7258,2.0438,1.555,1,1,11.85,8450,3.35
grid2:columnNS,,,PR10_x0.5,holdout,3,1059,headon,vfield,1929875180,ok,0,0,0,0,0,0,5.4091,3.4999,2.7258,2.0438,1.555,1,1,,8450,3.31
grid2:columnNS,,,PR10_x0.75,holdout,3,1001,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,3.9103,4.2293,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.75,holdout,3,1003,headon,vfield,41eb5679da,ok,2,0,2,0,0,0,6.3672,0.3925,2.7258,2.0438,1.555,1,1,8.11,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1005,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,3.9141,0.7044,2.7258,2.0438,1.555,1,1,22.27,8450,3.39
grid2:columnNS,,,PR10_x0.75,holdout,3,1007,headon,vfield,41eb5679da,ok,2,0,2,0,0,0,4.0444,0.2076,2.7258,2.0438,1.555,1,1,6.27,8450,3.37
grid2:columnNS,,,PR10_x0.75,holdout,3,1009,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,6.6606,0.0608,2.7258,2.0438,1.555,1,1,6.94,8450,3.34
grid2:columnNS,,,PR10_x0.75,holdout,3,1011,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,3.8251,0.6235,2.7258,2.0438,1.555,1,1,7.54,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1013,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,5.5816,4.2806,2.7258,2.0438,1.555,1,1,,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1015,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,4.1437,3.1355,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.75,holdout,3,1017,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,1.5423,0.8604,2.7258,2.0438,1.555,1,1,9.29,8450,3.39
grid2:columnNS,,,PR10_x0.75,holdout,3,1019,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,4.7481,3.5435,2.7258,2.0438,1.555,1,1,,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1021,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,1.6047,4.714,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:columnNS,,,PR10_x0.75,holdout,3,1023,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,2.5059,1.4952,2.7258,2.0438,1.555,1,1,,8450,3.3
grid2:columnNS,,,PR10_x0.75,holdout,3,1025,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,1.3368,0.5911,2.7258,2.0438,1.555,1,1,9.62,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1027,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,4.7925,3.3634,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:columnNS,,,PR10_x0.75,holdout,3,1029,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,8.6462,1.8033,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:columnNS,,,PR10_x0.75,holdout,3,1031,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,4.8133,5.3082,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.75,holdout,3,1033,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,2.8844,0.7727,2.7258,2.0438,1.555,1,1,9.01,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1035,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,5.0295,1.716,2.7258,2.0438,1.555,1,1,,8450,3.35
grid2:columnNS,,,PR10_x0.75,holdout,3,1037,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,2.4207,3.4067,2.7258,2.0438,1.555,1,1,,8450,3.38
grid2:columnNS,,,PR10_x0.75,holdout,3,1039,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,3.3943,2.4332,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:columnNS,,,PR10_x0.75,holdout,3,1041,headon,vfield,41eb5679da,ok,1,0,1,0,0,0,3.349,0.4237,2.7258,2.0438,1.555,1,1,17.83,8450,3.37
grid2:columnNS,,,PR10_x0.75,holdout,3,1043,headon,vfield,41eb5679da,ok,0,0,0,0,0,0,5.3056,4.7242,2.7258,2.0438,1.555,1,1,,8450,3.36
