mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:fineNorm,,,PR8_x1,holdout,3,1001,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.3906,4.9861,2.7258,2.0438,1.555,1,1,,8450,3.78
grid2:fineNorm,,,PR8_x1,holdout,3,1003,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,1.9339,2.843,2.7258,2.0438,1.555,1,1,,8450,3.67
grid2:fineNorm,,,PR8_x1,holdout,3,1005,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.7674,6.0656,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:fineNorm,,,PR8_x1,holdout,3,1007,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.9158,6.17,2.7258,2.0438,1.555,1,1,,8450,3.39
grid2:fineNorm,,,PR8_x1,holdout,3,1009,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.3658,1.0104,2.7258,2.0438,1.555,1,1,,8450,3.9
grid2:fineNorm,,,PR8_x1,holdout,3,1011,headon,vfield,c9e8ad5610,ok,1,0,1,0,0,0,3.0856,0.8542,2.7258,2.0438,1.555,1,1,5.07,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1013,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,1.6794,1.9124,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1015,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.7873,3.1626,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:fineNorm,,,PR8_x1,holdout,3,1017,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.7137,6.1091,2.7258,2.0438,1.555,1,1,,8450,3.34
grid2:fineNorm,,,PR8_x1,holdout,3,1019,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.6771,3.5342,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:fineNorm,,,PR8_x1,holdout,3,1021,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.9859,4.2632,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1023,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.524,6.1765,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:fineNorm,,,PR8_x1,holdout,3,1025,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.5831,2.096,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1027,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,1.5299,1.9249,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1029,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.3575,5.7518,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1031,headon,vfield,c9e8ad5610,ok,1,0,1,0,0,0,3.2975,0.4984,2.7258,2.0438,1.555,1,1,11.41,8450,3.32
grid2:fineNorm,,,PR8_x1,holdout,3,1033,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,5.1779,2.4082,2.7258,2.0438,1.555,1,1,,8450,3.32
grid2:fineNorm,,,PR8_x1,holdout,3,1035,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.5554,3.197,2.7258,2.0438,1.555,1,1,,8450,3.3
grid2:fineNorm,,,PR8_x1,holdout,3,1037,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.2187,5.6276,2.7258,2.0438,1.555,1,1,,8450,3.33
grid2:fineNorm,,,PR8_x1,holdout,3,1039,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.1992,5.3432,2.7258,2.0438,1.555,1,1,,8450,3.32
grid2:fineNorm,,,PR8_x1,holdout,3,1041,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,2.5824,1.6365,2.7258,2.0438,1.555,1,1,,8450,3.32
grid2:fineNorm,,,PR8_x1,holdout,3,1043,headon,vfield,c9e8ad5610,ok,0,0,0,0,0,0,3.7498,5.2781,2.7258,2.0438,1.555,1,1,,8450,3.36
