mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:flat,,,PR8_x0.5,holdout,3,1001,headon,vfield,4fd5d9898c,ok,2,0,1,0,1,0,0.4161,0.7564,2.7258,2.0438,1.555,1,1,8.02,8450,3.91
grid2:flat,,,PR8_x0.5,holdout,3,1003,headon,vfield,4fd5d9898c,ok,1,0,1,0,0,0,1.4282,0.3108,2.7258,2.0438,1.555,1,1,5.19,8450,3.76
grid2:flat,,,PR8_x0.5,holdout,3,1005,headon,vfield,4fd5d9898c,ok,1,0,1,0,0,0,2.4507,0.515,2.7258,2.0438,1.555,1,1,18.02,8450,3.67
grid2:flat,,,PR8_x0.5,holdout,3,1007,headon,vfield,4fd5d9898c,ok,0,0,0,0,0,0,1.6692,2.2569,2.7258,2.0438,1.555,1,1,,8450,3.71
grid2:flat,,,PR8_x0.5,holdout,3,1009,headon,vfield,4fd5d9898c,ok,1,0,1,0,0,0,1.9819,0.7758,2.7258,2.0438,1.555,1,1,18.12,8450,3.82
grid2:flat,,,PR8_x0.5,holdout,3,1011,headon,vfield,4fd5d9898c,ok,0,0,0,0,0,0,2.386,1.9469,2.7258,2.0438,1.555,1,1,,8450,3.7
grid2:flat,,,PR8_x0.5,holdout,3,1013,headon,vfield,4fd5d9898c,ok,0,0,0,0,0,0,1.8545,2.0158,2.7258,2.0438,1.555,1,1,,8450,3.68
grid2:flat,,,PR8_x0.5,holdout,3,1015,headon,vfield,4fd5d9898c,ok,0,0,0,0,0,0,3.0554,3.1425,2.7258,2.0438,1.555,1,1,,8450,3.67
grid2:flat,,,PR8_x0.5,holdout,3,1017,headon,vfield,4fd5d9898c,ok,2,0,2,0,0,0,3.7788,0.1095,2.7258,2.0438,1.555,1,1,6.27,8450,3.73
grid2:flat,,,PR8_x0.5,holdout,3,1019,headon,vfield,4fd5d9898c,ok,1,0,0,0,1,0,0.4671,2.506,2.7258,2.0438,1.555,1,1,22.04,8450,3.71
grid2:flat,,,PR8_x0.5,holdout,3,1021,headon,vfield,4fd5d9898c,ok,0,0,0,0,0,0,6.2498,1.3268,2.7258,2.0438,1.555,1,1,,8450,3.68
grid2:flat,,,PR8_x0.5,holdout,3,1023,headon,vfield,4fd5d9898c,ok,1,0,1,0,0,0,1.1494,0.2028,2.7258,2.0438,1.555,1,1,10.3,8450,3.76
grid2:flat,,,PR8_x0.5,holdout,3,1025,headon,vfield,4fd5d9898c,ok,2,0,1,0,1,0,0.7523,0.8328,2.7258,2.0438,1.555,1,1,15.3,8450,3.75
