mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:flatNS,,,PR8_x0.5,holdout,3,1001,headon,vfield,711863da3c,ok,0,0,0,0,0,0,2.4751,2.6437,2.7258,2.0438,1.555,1,1,,8450,3.68
grid2:flatNS,,,PR8_x0.5,holdout,3,1003,headon,vfield,711863da3c,ok,1,0,0,0,1,0,0.2198,3.4288,2.7258,2.0438,1.555,1,1,-0.3,8450,4.0
grid2:flatNS,,,PR8_x0.5,holdout,3,1005,headon,vfield,711863da3c,ok,1,0,1,0,0,0,3.3529,0.7549,2.7258,2.0438,1.555,1,1,6.91,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1007,headon,vfield,711863da3c,ok,1,0,1,0,0,0,3.4543,0.0781,2.7258,2.0438,1.555,1,1,13.05,8450,3.52
grid2:flatNS,,,PR8_x0.5,holdout,3,1009,headon,vfield,711863da3c,ok,1,0,1,0,0,0,2.6961,0.5093,2.7258,2.0438,1.555,1,1,3.77,8450,3.53
grid2:flatNS,,,PR8_x0.5,holdout,3,1011,headon,vfield,711863da3c,ok,1,0,0,0,1,0,0.9658,1.5255,2.7258,2.0438,1.555,1,1,21.86,8450,3.46
grid2:flatNS,,,PR8_x0.5,holdout,3,1013,headon,vfield,711863da3c,ok,2,1,1,0,0,0,3.13,0.0534,2.7258,2.0438,1.555,1,1,6.63,8450,3.46
grid2:flatNS,,,PR8_x0.5,holdout,3,1015,headon,vfield,711863da3c,ok,1,0,1,0,0,0,3.0169,0.0524,2.7258,2.0438,1.555,1,1,6.3,8450,3.44
grid2:flatNS,,,PR8_x0.5,holdout,3,1017,headon,vfield,711863da3c,ok,1,0,1,0,0,0,2.0364,0.9414,2.7258,2.0438,1.555,1,1,17.3,8450,3.46
grid2:flatNS,,,PR8_x0.5,holdout,3,1019,headon,vfield,711863da3c,ok,1,0,1,0,0,0,3.3292,0.2268,2.7258,2.0438,1.555,1,1,5.58,8450,3.52
grid2:flatNS,,,PR8_x0.5,holdout,3,1021,headon,vfield,711863da3c,ok,0,0,0,0,0,0,5.0539,3.3217,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x0.5,holdout,3,1023,headon,vfield,711863da3c,ok,0,0,0,0,0,0,4.767,1.8423,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x0.5,holdout,3,1025,headon,vfield,711863da3c,ok,2,0,1,0,1,0,0.1349,0.6291,2.7258,2.0438,1.555,1,1,15.79,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1027,headon,vfield,711863da3c,ok,0,0,0,0,0,0,5.1727,1.6579,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1029,headon,vfield,711863da3c,ok,1,0,1,0,0,0,1.2668,0.481,2.7258,2.0438,1.555,1,1,12.1,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1031,headon,vfield,711863da3c,ok,0,0,0,0,0,0,4.1891,3.3829,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1033,headon,vfield,711863da3c,ok,0,0,0,0,0,0,4.3451,4.2656,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1035,headon,vfield,711863da3c,ok,0,0,0,0,0,0,1.4985,1.806,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1037,headon,vfield,711863da3c,ok,2,0,2,0,0,0,4.7087,0.1498,2.7258,2.0438,1.555,1,1,5.14,8450,3.49
grid2:flatNS,,,PR8_x0.5,holdout,3,1039,headon,vfield,711863da3c,ok,0,0,0,0,0,0,4.1403,2.3413,2.7258,2.0438,1.555,1,1,,8450,3.6
grid2:flatNS,,,PR8_x0.5,holdout,3,1041,headon,vfield,711863da3c,ok,0,0,0,0,0,0,3.6946,3.3108,2.7258,2.0438,1.555,1,1,,8450,3.54
grid2:flatNS,,,PR8_x0.5,holdout,3,1043,headon,vfield,711863da3c,ok,0,0,0,0,0,0,2.3976,1.12,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.5,holdout,3,1045,headon,vfield,711863da3c,ok,0,0,0,0,0,0,1.0759,1.7693,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:flatNS,,,PR8_x0.5,holdout,3,1047,headon,vfield,711863da3c,ok,1,0,1,0,0,0,4.582,0.0489,2.7258,2.0438,1.555,1,1,16.44,8450,3.51
grid2:flatNS,,,PR8_x0.5,holdout,3,1049,headon,vfield,711863da3c,ok,0,0,0,0,0,0,1.3856,1.4828,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x0.5,holdout,3,1051,headon,vfield,711863da3c,ok,0,0,0,0,0,0,1.6344,2.8805,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:flatNS,,,PR8_x0.5,holdout,3,1053,headon,vfield,711863da3c,ok,2,1,1,0,0,0,1.6813,0.2001,2.7258,2.0438,1.555,1,1,5.02,8450,3.46
grid2:flatNS,,,PR8_x0.5,holdout,3,1055,headon,vfield,711863da3c,ok,0,0,0,0,0,0,2.575,1.1817,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.5,holdout,3,1057,headon,vfield,711863da3c,ok,0,0,0,0,0,0,4.2615,1.2955,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:flatNS,,,PR8_x0.5,holdout,3,1059,headon,vfield,711863da3c,ok,0,0,0,0,0,0,3.4733,2.821,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x0.75,holdout,3,1001,headon,vfield,7801ab3a93,ok,2,1,1,0,0,0,3.4364,0.3715,2.7258,2.0438,1.555,1,1,11.7,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1003,headon,vfield,7801ab3a93,ok,1,0,1,0,0,0,4.344,0.8557,2.7258,2.0438,1.555,1,1,-4.08,8450,3.48
grid2:flatNS,,,PR8_x0.75,holdout,3,1005,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,2.5689,4.7238,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1007,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,5.3702,2.6156,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.75,holdout,3,1009,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,1.6184,4.1589,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x0.75,holdout,3,1011,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,6.4737,1.9695,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:flatNS,,,PR8_x0.75,holdout,3,1013,headon,vfield,7801ab3a93,ok,1,0,1,0,0,0,1.8816,0.2415,2.7258,2.0438,1.555,1,1,5.4,8450,3.49
grid2:flatNS,,,PR8_x0.75,holdout,3,1015,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,3.0707,2.7978,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1017,headon,vfield,7801ab3a93,ok,1,0,1,0,0,0,3.7272,0.7345,2.7258,2.0438,1.555,1,1,5.05,8450,3.53
grid2:flatNS,,,PR8_x0.75,holdout,3,1019,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,4.6878,1.1679,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x0.75,holdout,3,1021,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,5.1881,2.1727,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1023,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,4.9062,4.6076,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:flatNS,,,PR8_x0.75,holdout,3,1025,headon,vfield,7801ab3a93,ok,1,0,1,0,0,0,4.7927,0.3692,2.7258,2.0438,1.555,1,1,15.73,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1027,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,2.5378,6.3617,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:flatNS,,,PR8_x0.75,holdout,3,1029,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,1.6081,1.0648,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x0.75,holdout,3,1031,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,1.4698,1.0684,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1033,headon,vfield,7801ab3a93,ok,1,0,1,0,0,0,4.6466,0.6773,2.7258,2.0438,1.555,1,1,17.03,8450,3.42
grid2:flatNS,,,PR8_x0.75,holdout,3,1035,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,2.0167,2.2379,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:flatNS,,,PR8_x0.75,holdout,3,1037,headon,vfield,7801ab3a93,ok,1,0,0,0,1,0,0.7717,6.2575,2.7258,2.0438,1.555,1,1,34.48,8450,3.45
grid2:flatNS,,,PR8_x0.75,holdout,3,1039,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,4.1082,6.8157,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:flatNS,,,PR8_x0.75,holdout,3,1041,headon,vfield,7801ab3a93,ok,0,0,0,0,0,0,2.8112,2.5049,2.7258,2.0438,1.555,1,1,,8450,3.45
