mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:halfR,,,PR4_x1,holdout,3,1001,headon,vfield,3f1396e4c0,ok,2,0,0,1,1,0,0.2332,2.6271,2.7258,2.0438,1.555,1,1,-34.16,8450,3.65
grid2:halfR,,,PR4_x1,holdout,3,1003,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,3.2893,1.3485,2.7258,2.0438,1.555,1,1,,8450,3.59
grid2:halfR,,,PR4_x1,holdout,3,1005,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,1.6081,1.9072,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1007,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,1.886,1.7209,2.7258,2.0438,1.555,1,1,,8450,3.5
grid2:halfR,,,PR4_x1,holdout,3,1009,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,1.5341,2.0368,2.7258,2.0438,1.555,1,1,,8450,3.56
grid2:halfR,,,PR4_x1,holdout,3,1011,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,1.7691,2.7818,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1013,headon,vfield,3f1396e4c0,ok,1,0,0,0,1,0,0.4337,1.165,2.7258,2.0438,1.555,1,1,6.71,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1015,headon,vfield,3f1396e4c0,ok,1,0,0,0,1,0,0.2154,2.7534,2.7258,2.0438,1.555,1,1,5.86,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1017,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,1.2786,1.6026,2.7258,2.0438,1.555,1,1,,8450,3.55
grid2:halfR,,,PR4_x1,holdout,3,1019,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,2.1847,2.2433,2.7258,2.0438,1.555,1,1,,8450,3.59
grid2:halfR,,,PR4_x1,holdout,3,1021,headon,vfield,3f1396e4c0,ok,2,0,0,1,1,0,0.4506,2.1693,2.7258,2.0438,1.555,1,1,4.78,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1023,headon,vfield,3f1396e4c0,ok,1,0,0,0,1,0,0.5562,1.1132,2.7258,2.0438,1.555,1,1,7.22,8450,3.6
grid2:halfR,,,PR4_x1,holdout,3,1025,headon,vfield,3f1396e4c0,ok,1,0,0,0,1,0,0.9346,3.6787,2.7258,2.0438,1.555,1,1,6.47,8450,3.55
grid2:halfR,,,PR4_x1,holdout,3,1027,headon,vfield,3f1396e4c0,ok,0,0,0,0,0,0,3.1193,2.7623,2.7258,2.0438,1.555,1,1,,8450,3.56
grid2:halfR,,,PR4_x1,holdout,3,1029,headon,vfield,3f1396e4c0,ok,1,0,1,0,0,0,1.8722,0.7223,2.7258,2.0438,1.555,1,1,4.6,8450,3.57
grid2:halfR,,,PR4_x1,holdout,3,1031,headon,vfield,3f1396e4c0,ok,2,0,0,0,2,0,0.2643,3.0416,2.7258,2.0438,1.555,1,1,6.34,8450,3.57
