mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:halfRNS,,,PR4_x1,holdout,3,1001,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.2989,3.0665,2.7258,2.0438,1.555,1,1,,8450,3.65
grid2:halfRNS,,,PR4_x1,holdout,3,1003,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.3954,1.1302,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:halfRNS,,,PR4_x1,holdout,3,1005,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.5993,2.6298,2.7258,2.0438,1.555,1,1,,8450,3.51
grid2:halfRNS,,,PR4_x1,holdout,3,1007,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.9022,1.7209,2.7258,2.0438,1.555,1,1,,8450,3.51
grid2:halfRNS,,,PR4_x1,holdout,3,1009,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.5672,3.3016,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:halfRNS,,,PR4_x1,holdout,3,1011,headon,vfield,356b979057,ok,1,0,1,0,0,0,1.4285,0.7088,2.7258,2.0438,1.555,1,1,3.99,8450,3.48
grid2:halfRNS,,,PR4_x1,holdout,3,1013,headon,vfield,356b979057,ok,1,0,1,0,0,0,1.3664,0.4682,2.7258,2.0438,1.555,1,1,4.92,8450,3.5
grid2:halfRNS,,,PR4_x1,holdout,3,1015,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.5274,2.7534,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:halfRNS,,,PR4_x1,holdout,3,1017,headon,vfield,356b979057,ok,2,0,1,0,1,0,0.3419,0.4882,2.7258,2.0438,1.555,1,1,5.09,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1019,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.8729,1.7652,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1021,headon,vfield,356b979057,ok,1,0,1,0,0,0,1.1423,0.5291,2.7258,2.0438,1.555,1,1,13.66,8450,3.46
grid2:halfRNS,,,PR4_x1,holdout,3,1023,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.4358,1.4953,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1,holdout,3,1025,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.5626,1.1896,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1,holdout,3,1027,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.7236,2.5748,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1,holdout,3,1029,headon,vfield,356b979057,ok,1,0,0,0,1,0,0.9305,1.3433,2.7258,2.0438,1.555,1,1,12.07,8450,3.43
grid2:halfRNS,,,PR4_x1,holdout,3,1031,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.7823,3.2013,2.7258,2.0438,1.555,1,1,,8450,3.41
grid2:halfRNS,,,PR4_x1,holdout,3,1033,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.2032,1.5291,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1035,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.1533,1.3386,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:halfRNS,,,PR4_x1,holdout,3,1037,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.4501,1.5121,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1039,headon,vfield,356b979057,ok,1,0,0,1,0,0,0.8887,2.9075,2.7258,2.0438,1.555,1,1,3.63,8450,3.44
grid2:halfRNS,,,PR4_x1,holdout,3,1041,headon,vfield,356b979057,ok,1,0,1,0,0,0,2.3464,0.9973,2.7258,2.0438,1.555,1,1,4.33,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1043,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.4984,1.5789,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:halfRNS,,,PR4_x1,holdout,3,1045,headon,vfield,356b979057,ok,2,0,0,0,2,0,0.7764,3.4949,2.7258,2.0438,1.555,1,1,6.31,8450,3.53
grid2:halfRNS,,,PR4_x1,holdout,3,1047,headon,vfield,356b979057,ok,1,0,0,0,1,0,0.9103,3.9668,2.7258,2.0438,1.555,1,1,5.95,8450,3.46
grid2:halfRNS,,,PR4_x1,holdout,3,1049,headon,vfield,356b979057,ok,0,0,0,0,0,0,2.6084,2.0898,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:halfRNS,,,PR4_x1,holdout,3,1051,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.6288,2.0462,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1,holdout,3,1053,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.1367,1.6905,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1,holdout,3,1055,headon,vfield,356b979057,ok,2,0,0,1,1,0,0.5325,3.9433,2.7258,2.0438,1.555,1,1,-31.76,8450,3.44
grid2:halfRNS,,,PR4_x1,holdout,3,1057,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.5525,3.3766,2.7258,2.0438,1.555,1,1,,8450,3.51
grid2:halfRNS,,,PR4_x1,holdout,3,1059,headon,vfield,356b979057,ok,0,0,0,0,0,0,1.5582,2.6596,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:halfRNS,,,PR4_x1.25,holdout,3,1001,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.9574,1.2391,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.25,holdout,3,1003,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7947,3.4407,2.7258,2.0438,1.555,1,1,,8450,3.42
grid2:halfRNS,,,PR4_x1.25,holdout,3,1005,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.653,3.4354,2.7258,2.0438,1.555,1,1,,8450,3.42
grid2:halfRNS,,,PR4_x1.25,holdout,3,1007,headon,vfield,38ca3d461c,ok,1,0,1,0,0,0,1.2562,0.2914,2.7258,2.0438,1.555,1,1,4.96,8450,3.5
grid2:halfRNS,,,PR4_x1.25,holdout,3,1009,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8151,3.4213,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:halfRNS,,,PR4_x1.25,holdout,3,1011,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.2521,1.5408,2.7258,2.0438,1.555,1,1,,8450,3.41
grid2:halfRNS,,,PR4_x1.25,holdout,3,1013,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.5093,3.4401,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1.25,holdout,3,1015,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.6043,3.8197,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:halfRNS,,,PR4_x1.25,holdout,3,1017,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.9197,2.1863,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:halfRNS,,,PR4_x1.25,holdout,3,1019,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8436,3.605,2.7258,2.0438,1.555,1,1,,8450,3.47
grid2:halfRNS,,,PR4_x1.25,holdout,3,1021,headon,vfield,38ca3d461c,ok,1,0,1,0,0,0,1.8732,0.2896,2.7258,2.0438,1.555,1,1,5.01,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1023,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7334,1.312,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1025,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7896,3.8201,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1027,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.835,3.437,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1029,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8185,3.8217,2.7258,2.0438,1.555,1,1,,8450,3.64
grid2:halfRNS,,,PR4_x1.25,holdout,3,1031,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,3.0677,1.5741,2.7258,2.0438,1.555,1,1,,8450,3.54
grid2:halfRNS,,,PR4_x1.25,holdout,3,1033,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.9368,3.481,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.25,holdout,3,1035,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.744,3.8228,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.25,holdout,3,1037,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7203,3.8219,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1039,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.4591,1.5016,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.25,holdout,3,1041,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7631,3.8199,2.7258,2.0438,1.555,1,1,,8450,3.53
grid2:halfRNS,,,PR4_x1.25,holdout,3,1043,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.3951,2.6448,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1045,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8116,3.4611,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:halfRNS,,,PR4_x1.25,holdout,3,1047,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.859,3.4329,2.7258,2.0438,1.555,1,1,,8450,3.45
grid2:halfRNS,,,PR4_x1.25,holdout,3,1049,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.7504,3.8212,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:halfRNS,,,PR4_x1.25,holdout,3,1051,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.708,3.5151,2.7258,2.0438,1.555,1,1,,8450,3.42
grid2:halfRNS,,,PR4_x1.25,holdout,3,1053,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8143,3.4085,2.7258,2.0438,1.555,1,1,,8450,3.48
grid2:halfRNS,,,PR4_x1.25,holdout,3,1055,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.9785,1.4901,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:halfRNS,,,PR4_x1.25,holdout,3,1057,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,2.8139,3.4345,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.25,holdout,3,1059,headon,vfield,38ca3d461c,ok,0,0,0,0,0,0,1.8861,3.476,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:halfRNS,,,PR4_x1.5,holdout,3,1001,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,2.7777,2.3669,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.5,holdout,3,1003,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,2.7782,2.3679,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:halfRNS,,,PR4_x1.5,holdout,3,1005,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,1.7262,2.3681,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.5,holdout,3,1007,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,2.6054,2.3674,2.7258,2.0438,1.555,1,1,,8450,3.41
grid2:halfRNS,,,PR4_x1.5,holdout,3,1009,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,2.8405,3.6027,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:halfRNS,,,PR4_x1.5,holdout,3,1011,headon,vfield,f71a5dc751,ok,0,0,0,0,0,0,2.1997,3.5942,2.7258,2.0438,1.555,1,1,,8450,3.41
