mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:norm,,,PR8_x0.5,holdout,3,1001,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,2.7165,2.6875,2.7258,2.0438,1.555,1,1,,8450,3.68
grid2:norm,,,PR8_x0.5,holdout,3,1003,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,3.153,4.4969,2.7258,2.0438,1.555,1,1,,8450,3.78
grid2:norm,,,PR8_x0.5,holdout,3,1005,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,2.4029,1.2222,2.7258,2.0438,1.555,1,1,,8450,3.72
grid2:norm,,,PR8_x0.5,holdout,3,1007,headon,vfield,eb4a55e9a4,ok,2,0,0,0,2,0,0.3056,1.7184,2.7258,2.0438,1.555,1,1,4.77,8450,3.58
grid2:norm,,,PR8_x0.5,holdout,3,1009,headon,vfield,eb4a55e9a4,ok,1,0,0,0,1,0,0.4097,1.6268,2.7258,2.0438,1.555,1,1,7.27,8450,3.62
grid2:norm,,,PR8_x0.5,holdout,3,1011,headon,vfield,eb4a55e9a4,ok,1,0,0,0,1,0,0.5968,3.1198,2.7258,2.0438,1.555,1,1,28.61,8450,3.56
grid2:norm,,,PR8_x0.5,holdout,3,1013,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,1.4948,2.5098,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:norm,,,PR8_x0.5,holdout,3,1015,headon,vfield,eb4a55e9a4,ok,1,0,1,0,0,0,1.2349,0.8232,2.7258,2.0438,1.555,1,1,4.29,8450,3.66
grid2:norm,,,PR8_x0.5,holdout,3,1017,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,3.6362,4.4862,2.7258,2.0438,1.555,1,1,,8450,3.58
grid2:norm,,,PR8_x0.5,holdout,3,1019,headon,vfield,eb4a55e9a4,ok,1,0,1,0,0,0,2.2673,0.4216,2.7258,2.0438,1.555,1,1,8.9,8450,3.56
grid2:norm,,,PR8_x0.5,holdout,3,1021,headon,vfield,eb4a55e9a4,ok,0,0,0,0,0,0,1.6375,3.9852,2.7258,2.0438,1.555,1,1,,8450,3.55
