mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,redArrived,goldArrived,firstCollisionRelCPA,steps,runtimeSec
grid2:normNS,,,PR8_x0.5,holdout,3,1001,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,4.0445,2.2219,2.7258,2.0438,1.555,1,1,,8450,3.37
grid2:normNS,,,PR8_x0.5,holdout,3,1003,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.0857,4.9113,2.7258,2.0438,1.555,1,1,,8450,3.72
grid2:normNS,,,PR8_x0.5,holdout,3,1005,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,1.2403,0.8346,2.7258,2.0438,1.555,1,1,4.87,8450,3.42
grid2:normNS,,,PR8_x0.5,holdout,3,1007,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,3.4214,3.2813,2.7258,2.0438,1.555,1,1,,8450,3.37
grid2:normNS,,,PR8_x0.5,holdout,3,1009,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,3.6377,1.9046,2.7258,2.0438,1.555,1,1,,8450,3.42
grid2:normNS,,,PR8_x0.5,holdout,3,1011,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,3.0431,0.0856,2.7258,2.0438,1.555,1,1,5.39,8450,3.39
grid2:normNS,,,PR8_x0.5,holdout,3,1013,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.5539,1.1396,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:normNS,,,PR8_x0.5,holdout,3,1015,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.4758,1.1204,2.7258,2.0438,1.555,1,1,,8450,3.38
grid2:normNS,,,PR8_x0.5,holdout,3,1017,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.1008,1.2905,2.7258,2.0438,1.555,1,1,,8450,3.38
grid2:normNS,,,PR8_x0.5,holdout,3,1019,headon,vfield,bccae972a6,ok,1,0,0,0,1,0,0.0139,2.1151,2.7258,2.0438,1.555,1,1,8.44,8450,3.43
grid2:normNS,,,PR8_x0.5,holdout,3,1021,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,2.5636,0.9821,2.7258,2.0438,1.555,1,1,7.45,8450,3.4
grid2:normNS,,,PR8_x0.5,holdout,3,1023,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,2.4035,0.7847,2.7258,2.0438,1.555,1,1,6.01,8450,3.41
grid2:normNS,,,PR8_x0.5,holdout,3,1025,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.572,2.8434,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:normNS,,,PR8_x0.5,holdout,3,1027,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.917,5.5086,2.7258,2.0438,1.555,1,1,,8450,3.39
grid2:normNS,,,PR8_x0.5,holdout,3,1029,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.1473,2.216,2.7258,2.0438,1.555,1,1,,8450,3.42
grid2:normNS,,,PR8_x0.5,holdout,3,1031,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.51,4.6779,2.7258,2.0438,1.555,1,1,,8450,3.4
grid2:normNS,,,PR8_x0.5,holdout,3,1033,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.9696,2.1366,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:normNS,,,PR8_x0.5,holdout,3,1035,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,4.0065,1.5348,2.7258,2.0438,1.555,1,1,,8450,3.36
grid2:normNS,,,PR8_x0.5,holdout,3,1037,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,1.8405,0.551,2.7258,2.0438,1.555,1,1,5.91,8450,3.38
grid2:normNS,,,PR8_x0.5,holdout,3,1039,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,4.0775,0.9252,2.7258,2.0438,1.555,1,1,9.4,8450,3.41
grid2:normNS,,,PR8_x0.5,holdout,3,1041,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.661,2.6956,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:normNS,,,PR8_x0.5,holdout,3,1043,headon,vfield,bccae972a6,ok,2,0,2,0,0,0,2.8089,0.3464,2.7258,2.0438,1.555,1,1,11.53,8450,3.41
grid2:normNS,,,PR8_x0.5,holdout,3,1045,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,2.6801,0.7895,2.7258,2.0438,1.555,1,1,3.22,8450,3.38
grid2:normNS,,,PR8_x0.5,holdout,3,1047,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.5724,6.0771,2.7258,2.0438,1.555,1,1,,8450,3.43
grid2:normNS,,,PR8_x0.5,holdout,3,1049,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.659,4.6261,2.7258,2.0438,1.555,1,1,,8450,3.44
grid2:normNS,,,PR8_x0.5,holdout,3,1051,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,4.0296,4.2536,2.7258,2.0438,1.555,1,1,,8450,3.53
grid2:normNS,,,PR8_x0.5,holdout,3,1053,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.4816,2.5552,2.7258,2.0438,1.555,1,1,,8450,3.49
grid2:normNS,,,PR8_x0.5,holdout,3,1055,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,1.4975,2.6571,2.7258,2.0438,1.555,1,1,,8450,3.52
grid2:normNS,,,PR8_x0.5,holdout,3,1057,headon,vfield,bccae972a6,ok,1,0,1,0,0,0,3.9627,0.0947,2.7258,2.0438,1.555,1,1,4.71,8450,3.61
grid2:normNS,,,PR8_x0.5,holdout,3,1059,headon,vfield,bccae972a6,ok,0,0,0,0,0,0,2.6109,5.0263,2.7258,2.0438,1.555,1,1,,8450,3.55
grid2:normNS,,,PR8_x0.75,holdout,3,1001,headon,vfield,c5abe16574,ok,1,0,0,1,0,0,0.9244,1.5544,2.7258,2.0438,1.555,1,1,17.83,8450,3.53
grid2:normNS,,,PR8_x0.75,holdout,3,1003,headon,vfield,c5abe16574,ok,0,0,0,0,0,0,3.635,5.467,2.7258,2.0438,1.555,1,1,,8450,3.73
grid2:normNS,,,PR8_x0.75,holdout,3,1005,headon,vfield,c5abe16574,ok,0,0,0,0,0,0,1.0888,3.4441,2.7258,2.0438,1.555,1,1,,8450,3.57
grid2:normNS,,,PR8_x0.75,holdout,3,1007,headon,vfield,c5abe16574,ok,1,0,1,0,0,0,2.0455,0.32,2.7258,2.0438,1.555,1,1,4.57,8450,3.63
grid2:normNS,,,PR8_x0.75,holdout,3,1009,headon,vfield,c5abe16574,ok,0,0,0,0,0,0,4.4089,2.1002,2.7258,2.0438,1.555,1,1,,8450,3.53
grid2:normNS,,,PR8_x0.75,holdout,3,1011,headon,vfield,c5abe16574,ok,0,0,0,0,0,0,4.369,3.3163,2.7258,2.0438,1.555,1,1,,8450,3.46
grid2:normNS,,,PR8_x0.75,holdout,3,1013,headon,vfield,c5abe16574,ok,1,0,1,0,0,0,2.5625,0.7269,2.7258,2.0438,1.555,1,1,5.31,8450,3.6
grid2:normNS,,,PR8_x0.75,holdout,3,1015,headon,vfield,c5abe16574,ok,0,0,0,0,0,0,1.0003,2.3085,2.7258,2.0438,1.555,1,1,,8450,3.55
grid2:normNS,,,PR8_x0.75,holdout,3,1017,headon,vfield,c5abe16574,ok,1,0,1,0,0,0,3.509,0.5705,2.7258,2.0438,1.555,1,1,5.3,8450,3.48
grid2:normNS,,,PR8_x0.75,holdout,3,1019,headon,vfield,c5abe16574,ok,2,0,1,1,0,0,0.0935,0.6111,2.7258,2.0438,1.555,1,1,12.62,8450,3.44
grid2:normNS,,,PR8_x0.75,holdout,3,1021,headon,vfield,c5abe16574,ok,2,0,1,0,1,0,0.9853,0.7768,2.7258,2.0438,1.555,1,1,5.47,8450,3.57
