geometry,guidance,nFan,seed,status,leaderLeader,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,totalCollisions,minLeaderGap,minFanCapGap,minFanFanGap,redRMS,goldRMS,redPeak,goldPeak,stopsRed,stopsGold,steps,firstCollisionRelCPA,runtimeSec
headon,waypoint,1,8,ok,0,0,0,0,0,0,3.5665,8.6955,21.1631,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.45
headon,waypoint,1,11,ok,0,0,0,0,0,0,3.5665,8.7056,21.1939,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.31
headon,waypoint,1,23,ok,0,0,0,0,0,0,3.5665,8.7073,21.196,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.29
headon,waypoint,1,42,ok,0,0,0,0,0,0,3.5665,8.6982,21.1669,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.27
headon,waypoint,1,77,ok,0,0,0,0,0,0,3.5665,8.6995,21.1679,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.29
headon,waypoint,1,101,ok,0,0,0,0,0,0,3.5665,8.4516,21.1794,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.21
headon,waypoint,1,144,ok,0,0,0,0,0,0,3.5665,8.7022,21.197,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.36
headon,waypoint,1,200,ok,0,0,0,0,0,0,3.5665,8.7005,21.1835,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,1,256,ok,0,0,0,0,0,0,3.5665,8.6957,21.1639,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.32
headon,waypoint,1,314,ok,0,0,0,0,0,0,3.5665,8.7076,21.2022,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.32
headon,waypoint,1,400,ok,0,0,0,0,0,0,3.5665,8.7042,21.1889,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.46
headon,waypoint,1,512,ok,0,0,0,0,0,0,3.5665,8.7061,21.1952,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.27
headon,waypoint,1,613,ok,0,0,0,0,0,0,3.5665,8.4385,21.1774,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.2
headon,waypoint,1,700,ok,0,0,0,0,0,0,3.5665,8.7041,21.1917,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.23
headon,waypoint,1,808,ok,0,0,0,0,0,0,3.5665,8.7012,21.185,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.19
headon,waypoint,1,900,ok,0,0,0,0,0,0,3.5665,8.7107,21.2032,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.18
headon,waypoint,1,1024,ok,0,0,0,0,0,0,3.5665,8.7058,21.1952,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.22
headon,waypoint,1,1111,ok,0,0,0,0,0,0,3.5665,8.7023,21.1771,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.26
headon,waypoint,1,1234,ok,0,0,0,0,0,0,3.5665,8.6978,21.1747,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.21
headon,waypoint,1,1337,ok,0,0,0,0,0,0,3.5665,8.7038,21.1973,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.21
headon,waypoint,2,8,ok,0,0,0,0,0,0,3.5665,3.1222,9.0376,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.27
headon,waypoint,2,11,ok,0,0,0,0,0,0,3.5665,3.1277,8.1007,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.4
headon,waypoint,2,23,ok,0,0,0,0,0,0,3.5665,3.1256,6.5066,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.35
