mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,2,headon,vfield,0829bfe0ae,ok,5,0,2,1,2,0,0.0348,0.0129,2.7258,1.3138,0.9996,5.96,20450,8.19
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,4,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.842,2.4322,2.7258,1.3138,0.9996,38.92,20450,8.32
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,6,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.1766,1.0375,2.7258,1.3138,0.9996,52.04,20450,8.27
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,8,headon,vfield,0829bfe0ae,ok,1,0,1,0,0,0,1.581,0.6544,2.7258,1.3138,0.9996,5.67,20450,8.25
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,10,headon,vfield,0829bfe0ae,ok,3,1,1,0,1,0,0.9951,0.2713,2.7258,1.3138,0.9996,-34.42,20450,8.35
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,12,headon,vfield,0829bfe0ae,ok,1,0,0,1,0,0,0.6819,2.4643,2.7258,1.3138,0.9996,-86.88,20450,8.43
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,14,headon,vfield,0829bfe0ae,ok,1,0,0,1,0,0,0.0447,2.3372,2.7258,1.3138,0.9996,5.24,20450,8.29
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,16,headon,vfield,0829bfe0ae,ok,1,0,0,1,0,0,0.8511,2.7795,2.7258,1.3138,0.9996,6.0,20450,8.29
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,18,headon,vfield,0829bfe0ae,ok,4,1,0,2,1,0,0.0611,0.9826,2.7258,1.3138,0.9996,-92.28,20450,8.24
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,20,headon,vfield,0829bfe0ae,ok,1,0,0,1,0,0,0.6277,4.579,2.7258,1.3138,0.9996,10.49,20450,8.22
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,22,headon,vfield,0829bfe0ae,ok,3,0,1,0,2,0,0.5772,0.0345,2.7258,1.3138,0.9996,13.6,20450,8.23
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,24,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.0378,2.0753,2.7258,1.3138,0.9996,4.34,20450,8.32
sensitivity,ENCOUNTER_RANGE,8.0,8,tune,10,26,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.0484,1.0565,2.7258,1.3138,0.9996,,20450,8.15
